iter	Passed	Remaining
0	88	177209
1	182	182542
2	278	185439
3	374	187001
4	476	190006
5	575	191395
6	669	190495
7	768	191260
8	871	192830
9	976	194308
10	1075	194540
11	1185	196390
12	1291	197437
13	1398	198369
14	1499	198388
15	1611	199850
16	1712	199746
17	1810	199364
18	1904	198574
19	1995	197538
20	2099	197822
21	2195	197429
22	2291	196938
23	2383	196248
24	2472	195341
25	2581	195975
26	2697	197138
27	2800	197216
28	2914	198103
29	3021	198441
30	3127	198671
31	3234	198932
32	3343	199263
33	3447	199338
34	3549	199273
35	3641	198641
36	3738	198322
37	3832	197859
38	3931	197675
39	4029	197425
40	4118	196801
41	4205	196066
42	4306	195996
43	4403	195733
44	4500	195528
45	4594	195155
46	4689	194866
47	4788	194732
48	4890	194722
49	4987	194501
50	5075	193957
51	5171	193740
52	5264	193408
53	5362	193254
54	5456	192949
55	5548	192624
56	5642	192340
57	5732	191935
58	5827	191724
59	5932	191813
60	6030	191687
61	6126	191494
62	6226	191431
63	6327	191421
64	6423	191231
65	6521	191098
66	6614	190843
67	6708	190608
68	6815	190736
69	6910	190521
70	7005	190336
71	7094	189967
72	7186	189709
73	7281	189527
74	7372	189238
75	7467	189033
76	7567	188979
77	7665	188881
78	7761	188740
79	7858	188606
80	7951	188389
81	8060	188528
82	8161	188497
83	8258	188368
84	8357	188282
85	8450	188077
86	8548	187974
87	8640	187727
88	8733	187528
89	8826	187324
90	8926	187253
91	8975	186138
92	9074	186066
93	9174	186033
94	9271	185912
95	9374	185919
96	9473	185861
97	9567	185686
98	9659	185485
99	9739	185055
100	9833	184881
101	9923	184648
102	10015	184455
103	10111	184336
104	10206	184199
105	10298	184015
106	10395	183914
107	10494	183843
108	10582	183586
109	10677	183454
110	10775	183378
111	10863	183133
112	10959	183015
113	11053	182872
114	11153	182823
115	11248	182693
116	11351	182683
117	11443	182511
118	11539	182402
119	11634	182275
120	11732	182189
121	11834	182173
122	11939	182200
123	12032	182039
124	12122	181833
125	12223	181795
126	12320	181702
127	12412	181535
128	12506	181395
129	12605	181330
130	12703	181250
131	12791	181012
132	12884	180874
133	12984	180808
134	13078	180673
135	13188	180764
136	13279	180584
137	13380	180533
138	13479	180465
139	13577	180386
140	13676	180314
141	13772	180207
142	13870	180117
143	13966	180011
144	14067	179965
145	14167	179905
146	14260	179759
147	14357	179664
148	14444	179445
149	14540	179329
150	14638	179254
151	14738	179191
152	14836	179107
153	14929	178965
154	15029	178894
155	15123	178767
156	15214	178600
157	15309	178487
158	15404	178358
159	15495	178203
160	15595	178142
161	15690	178017
162	15792	177983
163	15887	177867
164	15980	177721
165	16078	177632
166	16169	177473
167	16265	177366
168	16369	177352
169	16462	177218
170	16555	177078
171	16647	176925
172	16747	176863
173	16843	176761
174	16938	176648
175	17031	176509
176	17127	176406
177	17220	176266
178	17308	176084
179	17407	176007
180	17496	175839
181	17592	175732
182	17640	175151
183	17732	175012
184	17830	174931
185	17938	174948
186	18030	174812
187	18125	174698
188	18230	174686
189	18332	174643
190	18432	174579
191	18533	174527
192	18628	174414
193	18721	174279
194	18821	174222
195	18908	174035
196	19004	173933
197	19100	173831
198	19193	173709
199	19284	173559
200	19382	173477
201	19475	173354
202	19572	173264
203	19667	173154
204	19762	173039
205	19856	172924
206	19956	172863
207	20052	172761
208	20150	172674
209	20244	172563
210	20343	172483
211	20442	172413
212	20537	172305
213	20636	172229
214	20728	172097
215	20823	171990
216	20914	171844
217	21015	171787
218	21117	171734
219	21210	171609
220	21311	171548
221	21413	171501
222	21513	171430
223	21608	171324
224	21705	171232
225	21801	171132
226	21898	171037
227	21992	170921
228	22095	170880
229	22193	170794
230	22291	170707
231	22397	170681
232	22491	170570
233	22593	170516
234	22694	170449
235	22793	170374
236	22890	170275
237	22991	170211
238	23088	170118
239	23184	170017
240	23282	169932
241	23382	169859
242	23479	169766
243	23575	169664
244	23667	169534
245	23768	169471
246	23871	169418
247	23971	169349
248	24066	169241
249	24158	169112
250	24256	169024
251	24356	168946
252	24447	168814
253	24537	168669
254	24630	168551
255	24725	168440
256	24822	168348
257	24914	168219
258	25007	168098
259	25105	168014
260	25195	167875
261	25307	167879
262	25402	167769
263	25497	167667
264	25605	167642
265	25709	167593
266	25809	167518
267	25913	167469
268	26009	167372
269	26111	167308
270	26207	167208
271	26311	167158
272	26409	167065
273	26513	167016
274	26612	166932
275	26710	166844
276	26811	166774
277	26906	166662
278	27000	166552
279	27107	166515
280	27208	166446
281	27300	166318
282	27392	166191
283	27487	166087
284	27577	165946
285	27674	165853
286	27766	165726
287	27862	165629
288	27960	165537
289	28050	165403
290	28147	165308
291	28246	165223
292	28337	165094
293	28445	165062
294	28540	164956
295	28632	164831
296	28731	164747
297	28827	164644
298	28920	164525
299	29017	164431
300	29120	164372
301	29217	164277
302	29318	164200
303	29414	164099
304	29514	164024
305	29618	163965
306	29714	163864
307	29810	163764
308	29908	163673
309	30002	163564
310	30102	163480
311	30201	163397
312	30296	163290
313	30391	163186
314	30492	163109
315	30583	162985
316	30677	162871
317	30769	162748
318	30864	162645
319	30968	162586
320	31068	162503
321	31168	162425
322	31261	162309
323	31359	162218
324	31460	162144
325	31563	162077
326	31663	161997
327	31755	161873
328	31851	161776
329	31945	161665
330	32039	161551
331	32132	161439
332	32220	161295
333	32316	161193
334	32405	161057
335	32507	160987
336	32610	160924
337	32719	160886
338	32815	160785
339	32909	160676
340	33006	160578
341	33109	160513
342	33204	160407
343	33297	160293
344	33385	160151
345	33486	160078
346	33587	159998
347	33680	159886
348	33776	159786
349	33878	159711
350	33971	159596
351	34067	159496
352	34164	159403
353	34262	159308
354	34363	159232
355	34458	159126
356	34556	159038
357	34658	158964
358	34770	158936
359	34870	158852
360	34970	158773
361	35066	158673
362	35166	158586
363	35262	158486
364	35351	158356
365	35450	158270
366	35547	158173
367	35644	158074
368	35740	157976
369	35844	157908
370	35945	157828
371	36046	157751
372	36140	157641
373	36246	157587
374	36341	157479
375	36439	157385
376	36537	157293
377	36637	157211
378	36728	157088
379	36820	156971
380	36919	156883
381	37018	156793
382	37114	156696
383	37220	156634
384	37320	156553
385	37423	156480
386	37514	156359
387	37617	156289
388	37715	156192
389	37814	156108
