,belongs_to_collection,budget_processed,budget,genre_rank,num_genres,has_homepage,originally_english,topStudio,numTopStudios,num_studios,studioRank,num_production_countries,topCountry,countryRank,usa_produced,1960s,1970s,1980s,1990s,2000s,2010s,mondayRelease,tuesdayRelease,wednesdayRelease,thursdayRelease,fridayRelease,saturdayRelease,sundayRelease,Winter,Fall,Spring,Summer,runtime_processed,spoken_english,num_languages,has_tagline,num_keywords,numTopKeywords,keywordRank,cast_num,topLeadActor,numTopActors,actorRanks,topActorRank,crew_num,topLeadDirector,numTopDirectors,directorsRank,topLeadExecProd,numTopExecProd,execProdRank,topLeadProducer,numTopProducers,producersRank,topLeadComposer,numTopComposers,composersRank,topLeadDirectorPhoto,numTopDirectorsPhoto,directorsPhotoRank,topLeadEditor,numTopEditors,editorsRank,budget_to_year_ratio,runtime_to_year_ratio,inflationBudget,popularity,popularity_year_ratio,log_revenue,revenue
0,1,14000000,14000000,10,1,0,1,0,0,3,452.6666667,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,93,1,1,1,4,3,0.75,24,0,0,949.9583333,337,71,0,0,126.3333333,0,0,150,0,0,360.6666667,0,1,27,0,0,303,0,0,113.5,3.448084774,0.046153846,16268000,6.575393,0.328979632,16.32630033,12314651
1,1,40000000,40000000,10.5,4,0,1,1,1,1,62,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,113,1,1,1,4,1,0.75,20,0,0,567.8,125,9,0,0,130,0,0,606,0,0,459.75,0,1,36,0,0,117,0,0,326,9.960119681,0.056387226,54400000,8.248895,0.382682805,18.37095922,95149435
2,0,3300000,3300000,5,1,1,1,0,0,3,659,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,105,1,1,1,12,3,0.75,50,0,0,337.88,214,64,0,0,189.5,0,0,275.75,0,0,465.3846154,0,0,81,0,0,293,0,0,17.57142857,0.813570153,0.052135055,3894000,64.29999,2.664506674,16.38751199,13092000
3,0,1200000,1200000,6.5,2,1,0,0,0,0,400,1,0,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,122,1,2,0,7,2,2.428571429,7,0,0,822.1428571,337,3,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.296432143,0.060636183,1459200,3.174936,0.166039454,16.58809934,16000000
4,0,12000000,0,11,2,0,0,0,0,0,400,1,0,22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,118,0,1,0,0,0,400,4,0,0,1946.75,337,2,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,2.973181163,0.058735689,0,1.14807,0.05711008,15.18261471,3923970
5,0,8000000,8000000,18,3,0,1,0,0,0,400,0,0,100,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,83,1,1,0,0,0,400,4,0,0,662.75,337,9,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,2.026255715,0.041771515,13328000,0.743274,0.049469346,14.99774039,3261638
6,0,14000000,14000000,7.5,2,1,1,0,0,2,210.5,2,1,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,92,1,1,1,0,0,400,14,0,0,1088.142857,337,75,0,0,189.5,0,0,239.4,0,0,784.4,0,0,81,0,1,95,0,0,66.75,3.458374999,0.045725646,17024000,7.286477,0.381060488,18.26339604,85446075
7,0,12000000,0,1,1,0,1,0,0,0,400,0,0,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,84,1,2,1,7,2,57.14285714,4,0,0,1946.75,337,1,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,2.988035904,0.041916168,0,1.949044,0.090420065,14.76582081,2586511
8,1,72829124.33,0,14.6,5,0,1,1,1,3,20.66666667,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,100,1,1,1,4,2,6.25,12,0,0,778.4166667,337,8,0,0,379,0,0,606,0,0,800.5,1,1,4,0,0,363,0,0,521,18.28032928,0.0501002,0,6.902423,0.416645235,17.35145419,34327391
9,0,6000000,6000000,11,2,0,1,0,0,1,477,1,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,91,1,1,1,2,0,200,19,0,0,944.8947368,337,11,0,0,379,0,0,606,0,0,800.5,0,0,81,0,0,363,0,0,401,1.495510105,0.045431852,8268000,4.672036,0.229636839,16.74671748,18750246
10,1,1000000,1000000,5,1,0,1,0,0,1,496,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,119,1,1,1,15,3,0.933333333,35,0,0,440.0285714,107,31,0,0,70.33333333,0,0,606,0,0,365.3333333,0,1,24,0,0,185,0,0,213.6,0.256109754,0.060222672,1864000,14.774066,0.755560657,18.57969229,117235147
11,1,29217342,0,10,1,0,1,0,0,4,580.25,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,98,1,1,1,6,1,3,14,0,0,867.9285714,337,2,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,7.400225776,0.049320584,0,10.54375,0.701749854,16.93531865,22642033
12,0,15000000,15000000,5,1,1,1,1,0,2,151.5,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,122,1,1,1,21,6,5,40,0,0,383.825,143,107,0,1,8.5,0,0,606,0,0,220.5,1,1,13,0,0,151,0,0,65.66666667,3.753752814,0.061030515,21750000,20.726578,1.149195686,19.69127409,356296601
13,1,53000000,53000000,8,2,0,1,0,0,4,437.5,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,118,1,2,1,8,0,50,58,0,0,373,119,18,0,1,69,0,0,35,0,0,468.7142857,1,1,7,0,1,91,0,0,351,13.18399761,0.058852868,71126000,13.314233,0.726199523,18.3717648,95226116
14,0,102000000,102000000,12.25,4,0,1,1,1,7,82.57142857,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,145,1,2,1,9,5,6.777777778,23,1,0,504.7391304,13,152,0,1,7,0,0,303,0,0,125.4,1,1,1.5,0,1,17,0,1,14.83333333,25.4490764,0.072427572,142392000,20.666063,1.10891538,19.6970847,358372926
15,0,500000,500000,8.333333333,3,1,0,0,0,1,400,1,0,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,97,0,1,1,2,0,200,12,0,0,648.9166667,337,25,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,340.5,0.123759313,0.048258706,626000,1.018477,0.052744586,12.16974574,192864
16,0,26000000,26000000,7.5,2,0,1,1,0,3,301.3333333,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,85,1,2,1,4,3,27,24,0,0,382.125,337,35,0,0,265,0,0,26.75,0,0,447.1666667,0,1,32,0,0,110,0,0,295.3333333,6.46762147,0.042394015,34892000,6.336927,0.345635634,17.87408638,57891803
17,0,8178423.25,0,7,2,0,1,0,0,4,202,1,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,111,1,1,1,2,1,19,19,0,0,780.1052632,133,30,0,0,189.5,0,0,606,0,0,218.6666667,0,0,81,0,0,150,0,0,340.5,2.018282863,0.05514158,0,4.183558,0.215208413,14.02597811,1234254
18,0,8000000,8000000,9.5,2,0,1,0,0,4,350.75,3,0,11.66666667,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,96,1,2,1,7,1,5.571428571,23,0,0,811.0434783,337,2,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,1.978180178,0.047737444,9872000,6.496259,0.337338507,14.37481658,1749457
19,1,32000000,32000000,9.333333333,3,0,1,0,0,7,361,1,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,87,1,3,1,5,2,16.2,10,0,0,505.5,153,17,0,1,36,0,0,606,0,0,266.1666667,0,0,81,0,1,42.5,0,0,125,7.960149502,0.043391521,42944000,11.359659,0.619591,18.26013211,85167639
20,0,80000000,80000000,17.66666667,3,0,1,0,0,4,54.75,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,1,1,1,3,1,133.3333333,20,0,0,586,169,119,0,0,59.2,0,0,94,0,0,14.86666667,0,1,64,0,0,268,0,0,49.25,20.04006008,0.065065065,117440000,12.000579,0.671828881,18.72933699,136159423
21,1,4000000,4000000,7.5,2,0,1,0,0,2,121,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95,1,1,1,9,4,13.11111111,15,0,0,476.6,337,11,0,0,304,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,1.018245949,0.047931382,7024000,7.99229,0.507629643,17.41801665,36690067
22,1,74174.33333,0,7.5,2,1,1,0,0,3,335,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,116,1,1,1,13,1,30.76923077,30,0,0,259.5666667,337,19,0,0,78.8,0,0,606,0,0,533.6666667,0,0,81,0,0,363,0,0,681,0.018323047,0.057654076,0,7.820787,0.409003268,11.51637949,100345
