id,belongs_to_collection,original_budget,budget_processed,genre_rank,num_genres,has_homepage,originally_english,topStudio,numTopStudios,num_studios,studioRank,num_production_countries,topCountry,countryRank,usa_produced,release_date,1960s,1970s,1980s,1990s,2000s,2010s,mondayRelease,tuesdayRelease,wednesdayRelease,thursdayRelease,fridayRelease,saturdayRelease,sundayRelease,Winter,Fall,Spring,Summer,runtime_processed,spoken_english,num_languages,has_tagline,num_keywords,numTopKeywords,keywordRank,cast_num,topLeadActor,numTopActors,actorRanks,topActorRank,crew_num,topLeadDirector,numTopDirectors,directorsRank,topLeadExecProd,numTopExecProd,execProdRank,topLeadProducer,numTopProducers,producersRank,topLeadComposer,numTopComposers,composersRank,topLeadDirectorPhoto,numTopDirectorsPhoto,directorsPhotoRank,topLeadEditor,numTopEditors,editorsRank,budget_to_year_ratio,runtime_to_year_ratio,inflationBudget,popularity,popularity_year_ratio,log_revenue,revenue,log_budget,season,month,year,day_of_week,week_of_year,_budget_runtime_ratio,_budget_popularity_ratio,day
1,1,14000000,14000000.0,10.0,1,0,1,0,0,3,452.6666667,1,1,3.0,1,2/20/15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,93,1,1,1,4,3,0.75,24,0,0,949.9583333,337,71,0,0,126.3333333,0,0,150.0,0,0,360.6666667,0,1,27.0,0,0,303.0,0,0,113.5,3.448084774,0.046153846,16268000.0,6.575393,0.328979632,16.32630033,12314651.0,16.454567959008102,4,2,2015,5,8,150537.63440860214,2129150.30325944,20
2,1,40000000,40000000.0,10.5,4,0,1,1,1,1,62.0,1,1,3.0,1,2008/6/4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,113,1,1,1,4,1,0.75,20,0,0,567.8,125,9,0,0,130.0,0,0,606.0,0,0,459.75,0,1,36.0,0,0,117.0,0,0,326.0,9.960119681,0.056387226,54400000.0,8.248895,0.382682805,18.37095922,95149435.0,17.50439003707821,2,6,2008,3,23,353982.30088495574,4849134.338599292,4
3,0,3300000,3300000.0,5.0,1,1,1,0,0,3,659.0,1,1,3.0,1,2010/10/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,105,1,1,1,12,3,0.75,50,0,0,337.88,214,64,0,0,189.5,0,0,275.75,0,0,465.3846154,0,0,81.0,0,0,293.0,0,0,17.57142857,0.813570153,0.052135055,3894000.0,64.29999,2.664506674,16.38751199,13092000.0,15.009433329466965,3,10,2010,4,41,31428.571428571428,51321.93644198079,14
4,0,1200000,1200000.0,6.5,2,1,0,0,0,0,400.0,1,0,15.0,0,2003/9/12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,122,1,2,0,7,2,2.428571429,7,0,0,822.1428571,337,3,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,0.296432143,0.060636183,1459200.0,3.174936,0.166039454,16.58809934,16000000.0,13.997832948091215,1,9,2003,5,37,9836.065573770491,377960.3746343233,12
5,0,0,12000000.0,11.0,2,0,0,0,0,0,400.0,1,0,22.0,0,2002/5/9,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,118,0,1,0,0,0,400.0,4,0,0,1946.75,337,2,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.973181163,0.058735689,0.0,1.14807,0.05711008,15.18261471,3923970.0,16.300417291085605,4,5,2002,4,19,101694.91525423729,10452324.335624136,9
6,0,8000000,8000000.0,18.0,3,0,1,0,0,0,400.0,0,0,100.0,0,8/6/87,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,83,1,1,0,0,0,400.0,4,0,0,662.75,337,9,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.026255715,0.041771515,13328000.0,0.743274,0.049469346,14.99774039,3261638.0,15.894952224644102,2,8,1987,4,32,96385.5421686747,10763190.963224867,6
7,0,14000000,14000000.0,7.5,2,1,1,0,0,2,210.5,2,1,6.0,1,8/30/12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,92,1,1,1,0,0,400.0,14,0,0,1088.142857,337,75,0,0,189.5,0,0,239.4,0,0,784.4,0,0,81.0,0,1,95.0,0,0,66.75,3.458374999,0.045725646,17024000.0,7.286477,0.381060488,18.26339604,85446075.0,16.454567959008102,2,8,2012,4,35,152173.91304347827,1921367.4866468392,30
8,0,0,12000000.0,1.0,1,0,1,0,0,0,400.0,0,0,100.0,0,1/15/04,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,84,1,2,1,7,2,57.14285714,4,0,0,1946.75,337,1,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.988035904,0.041916168,0.0,1.949044,0.090420065,14.76582081,2586511.0,16.300417291085605,4,1,2004,4,3,142857.14285714287,6156864.596181513,15
9,1,0,72829124.33,14.6,5,0,1,1,1,3,20.66666667,1,1,3.0,1,2/16/96,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,100,1,1,1,4,2,6.25,12,0,0,778.4166667,337,8,0,0,379.0,0,0,606.0,0,0,800.5,1,1,4.0,0,0,363.0,0,0,521.0,18.28032928,0.0501002,0.0,6.902423,0.416645235,17.35145419,34327391.0,18.10362650637325,4,2,1996,5,7,728291.2433,10551240.38761461,16
10,0,6000000,6000000.0,11.0,2,0,1,0,0,1,477.0,1,1,3.0,1,4/16/03,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,91,1,1,1,2,0,200.0,19,0,0,944.8947368,337,11,0,0,379.0,0,0,606.0,0,0,800.5,0,0,81.0,0,0,363.0,0,0,401.0,1.495510105,0.045431852,8268000.0,4.672036,0.229636839,16.74671748,18750246.0,15.607270193858982,1,4,2003,3,16,65934.06593406593,1284236.6796831188,16
